# Sample Raman spectrum (simulated mixed SnCl3Br3)
# Wavenumber (cm-1)    Intensity (a.u.)
50.0    10.2
55.0    12.4
60.0    15.8
65.0    20.1
70.0    25.3
75.0    32.1
80.0    41.5
85.0    54.2
90.0    71.3
95.0    92.8
100.0   118.5
105.0   95.2
110.0   78.4
115.0   82.1
120.0   105.3
125.0   89.2
130.0   78.5
135.0   92.4
140.0   85.1
145.0   98.2
150.0   115.4
155.0   92.1
160.0   75.2
165.0   68.4
170.0   82.5
175.0   125.8
180.0   185.2
185.0   312.5
190.0   425.8
195.0   385.2
200.0   245.1
205.0   158.2
210.0   98.5
215.0   72.4
220.0   58.2
225.0   48.5
230.0   42.1
235.0   48.2
240.0   85.4
245.0   142.5
250.0   125.8
255.0   92.4
260.0   72.5
265.0   58.2
270.0   85.4
275.0   125.8
280.0   195.2
285.0   225.4
290.0   185.2
295.0   118.5
300.0   72.4
310.0   45.2
320.0   32.1
330.0   25.4
340.0   20.1
350.0   16.2
360.0   13.5
370.0   11.2
380.0   9.8
390.0   8.5
400.0   7.2
